Date;PKod;Pgroup;Pname;Pquantity;pce_zn;pwa_zn;pce_sn;pwa_sn;pce_sb;pwa_sb;pudzsb;pmarza;pmarzajedn;pkwmarza;pudzmarza,,,,,,,,,,,,
01.01.2018;15654;CIGARETTES;GILZT GAPARD 100+25;6;1,29;7,74;1,54;9,24;1,89;11,34;0,01;16,23;0,25;1,5;0,2,
01.01.2018;12580;CIGARETTES;GILZY GULIWER 300+50GRAT;5;3,61;18,07;4,16;20,78;5,11;25,55;0,03;13,04;0,54;2,71;0,3,
01.01.2018;8472;CIGARETTES;GILZY PS 250 SZT;4;2,98;11,92;3,55;14,2;4,37;17,48;0,02;16,06;0,57;2,28;0,2,
01.01.2018;18960;GENERAL_FOOD;GLUGOPIS Z CUKIERKAMI;1;3,76;3,76;6,27;6,27;7,71;7,71;0,01;40,03;2,51;2,51;0,3,
01.01.2018;10454;SWEETS;GOFRY KOKOS 100;3;2,14;6,42;2,84;8,52;3,49;10,47;0,01;24,65;0,7;2,1;0,2,
01.01.2018;10687;SWEETS;GOFRY SEZAM 100 G;8;2,14;17,12;2,84;22,72;3,49;27,92;0,03;24,65;0,7;5,6;0,6,
01.01.2018;10452;SWEETS;GOFRY SLODKIE 100 G;14;2,14;29,96;2,84;39,76;3,49;48,86;0,05;24,65;0,7;9,8;0,1,
01.01.2018;8395;GENERAL;GOLARKA VENUS 2 SZT;1;2,04;2,04;4,38;4,38;5,39;5,39;0,01;53,42;2,34;2,34;0,2,
01.01.2018;13943;SWEETS;GOPL CZEKOLADA GORZKA 90 G;11;1,99;21,89;2,76;30,36;3,39;37,29;0,04;27,9;0,77;8,47;0,9,
01.01.2018;1290;SWEETS;GOPL CZEKOLADA MLECZNA 90G;9;1,99;17,91;2,76;24,84;3,39;30,51;0,03;27,9;0,77;6,93;0,7,
01.01.2018;7899;SWEETS;GOPL PRALINY JEY ME 27 G;1;0,84;0,84;1,37;1,37;1,69;1,69;0;38,69;0,53;0,53;0,1,,
01.01.2018;18187;SWEETS;GOPL.CUKIERKI MIETA 90G;2;1,05;2,1;1,46;2,92;1,79;3,58;0;28,08;0,41;0,82;0,1,,
01.01.2018;17971;SWEETS;GOPL.LANDRYNY BRANDO 90G;8;1,04;8,35;1,46;11,68;1,79;14,32;0,02;28,51;0,42;3,33;0,3,
01.01.2018;17970;SWEETS;GOPLANA EXTRA MIETA EXTRA MOCNE;9;0,92;8,28;1,37;12,33;1,69;15,21;0,02;32,85;0,45;4,05;0,4,
01.01.2018;1374;DAIRY_CHESSE;GOS.MASLANKA NATURALNA;23;2,29;52,67;2,85;65,55;2,99;68,77;0,08;19,65;0,56;12,88;0,13,
01.01.2018;374;DAIRY_CHESSE;GOS.MASLO 250G GOSTYN;396;6,26;2477,68;6,63;2624,04;6,95;2754,08;3,09;5,58;0,37;146,36;1,51,
01.01.2018;1373;DAIRY_CHESSE;GOS.MLEKO CODZIENNE 2_%;218;2,15;468,7;2,61;569,24;2,74;597,1;0,67;17,66;0,46;100,54;1,4,
01.01.2018;1359;DAIRY_CHESSE;GOS.MLEKO KAJMAK WANILIOWE 510 G;1;6,14;6,14;3,86;3,86;4,05;4,05;0;-59,07;-2,28;-2,28;-0,2,,
01.01.2018;16983;DAIRY_CHESSE;GOS.MLEKO PUSZKA 510 GR KRÓWKOWE S?/ZAG;1;4,89;4,89;7,61;7,61;7,99;7,99;0,01;35,74;2,72;2,72;0,3,
01.01.2018;3147;DAIRY_CHESSE;GOS.MLEKO TUBA KAKAO GOSTYN;9;2,59;23,31;3,42;30,78;3,59;32,31;0,04;24,27;0,83;7,47;0,8,
01.01.2018;1177;DAIRY_CHESSE;GOS.MLEKO UHT 2% 0_5L GOSTYN;15;1,46;21,9;2,09;31,35;2,19;32,85;0,04;30,14;0,63;9,45;0,1,
01.01.2018;1174;DAIRY_CHESSE;GOS.MLEKO UHT 2% 1L GOSTYN;31;2,32;71,9;3,08;95,47;3,24;100,35;0,11;24,69;0,76;23,57;0,24,
01.01.2018;1176;DAIRY_CHESSE;GOS.MLEKO UHT 3_2% 0_5L GOSTYN;21;1,55;32,55;2,09;43,89;2,19;45,99;0,05;25,84;0,54;11,34;0,12,
01.01.2018;1175;DAIRY_CHESSE;GOS.MLEKO UHT 3_2% 1L GOSTYN;38;2,38;90,44;3,22;122,37;3,38;128,45;0,14;26,09;0,84;31,93;0,33,
01.01.2018;15590;DAIRY_CHESSE;GOS.MLEKO Z BLONIKIEM 500G;16;3,52;56,32;4,61;73,76;4,84;77,44;0,09;23,64;1,09;17,44;0,18,
01.01.2018;1172;DAIRY_CHESSE;GOS.MLEKO ZAG. NIESL.200G GOSTYN;8;1,44;11,52;2,09;16,72;2,19;17,52;0,02;31,1;0,65;5,2;0,5,
01.01.2018;1173;DAIRY_CHESSE;GOS.MLEKO ZAGESZCZ.500ML GOSTYN;2;3,18;6,36;3,8;7,6;3,99;7,98;0,01;16,32;0,62;1,24;0,1,
